,Number of Songs,Artist Name,Artist Location,Duration,Title,Release,Year,Danceability,Energy,Mode,Tempo,Loudness,Hotness
0,1,Casual,California - LA,218.93179,I Didn't Mean To,Fear Itself,0,0.0,0.0,0,92.198,-11.197,0.6021199899057548
1,1,The Box Tops,"Memphis, TN",148.03546,Soul Deep,Dimensions,1969,0.0,0.0,0,121.274,-9.843,
2,1,Sonora Santanera,,177.47546,Amor De Cabaret,Las Numero 1 De La Sonora Santanera,0,0.0,0.0,1,100.07,-9.689,
3,1,Adam Ant,"London, England",233.40363,Something Girls,Friend Or Foe,1982,0.0,0.0,1,119.293,-9.013,
4,1,Gob,,209.60608,Face the Ashes,Muertos Vivos,2007,0.0,0.0,1,129.738,-4.501,0.6045007385888197
5,1,Jeff And Sheri Easter,,267.7024,The Moon And I (Ordinary Day Album Version),Ordinary Day,0,0.0,0.0,1,147.782,-9.323,
6,1,Rated R,Ohio,114.78159,Keepin It Real (Skit),Da Ghetto Psychic,0,0.0,0.0,1,111.787,-17.302,
7,1,Tweeterfriendly Music,"Burlington, Ontario, Canada",189.57016,Drop of Rain,Gin & Phonic,0,0.0,0.0,0,101.43,-11.642,
8,1,Planet P Project,,269.81832,Pink World,Pink World,1984,0.0,0.0,1,86.643,-13.496,0.26586104921065007
9,1,Clp,,266.39628,Insatiable (Instrumental Version),Superinstrumental,0,0.0,0.0,0,114.041,-6.697,
10,1,JennyAnyKind,North Carolina,218.77506,Young Boy Blues,I Need You,0,0.0,0.0,0,146.765,-10.021,0.0
11,1,Wayne Watson,"Wisner, LA",245.21098,The Urgency (LP Version),The Way Home,0,0.0,0.0,1,117.975,-7.545,0.26586104921065007
12,1,Andy Andy,,226.35057,La Culpa,Placer & Castigo,0,0.0,0.0,1,130.04,-6.632,0.0
13,1,Bob Azzam,,191.84281,Auguri Cha Cha,Arrivederci,0,0.0,0.0,0,137.334,-7.75,0.0
14,1,Lionel Richie,"Beverly Hills, CA",307.3824,Tonight Will Be Alright,Dancing On The Ceiling,1986,0.0,0.0,1,125.197,-8.346,
15,1,Blue Rodeo,"Toronto, Ontario, Canada",491.12771,Floating,Outskirts,1987,0.0,0.0,1,119.826,-8.576,0.4051157216913865
16,1,Richard Souther,United States,228.5971,High Tide,Cross Currents,0,0.0,0.0,1,127.756,-16.11,0.3347065490692206
17,1,Faiz Ali Faiz,,599.24853,Sohna Nee Sohna Data,Panjtan Ka Ghulam,0,0.0,0.0,1,99.273,-8.032,
18,1,Tesla,,290.29832,Caught In A Dream,Gold,2004,0.0,0.0,1,150.062,-5.271,0.6841361912294903
19,1,lextrical,,165.69424,Synthetic Dream,Whatever Happened To Boredom?,0,0.0,0.0,1,138.331,-6.787,0.0
20,1,Jimmy Wakely,"Mineola, AR",151.84934,Broken-Down Merry-Go-Round,1942-1952 Jimmy Wakely,0,0.0,0.0,1,86.186,-15.221,
21,1,Alice Stuart,Washington,220.78649,Kassie Jones,All The Good Times,0,0.0,0.0,1,110.382,-8.514,0.0
22,1,Elena,Dubai UAE,269.58322,Setanta matins,Un cafe_ setanta matins,0,0.0,0.0,1,111.874,-8.05,0.3135621142479342
23,1,The Dillinger Escape Plan,"Morris Plains, NJ",207.77751,Setting Fire to Sleeping Giants,Miss Machine,2004,0.0,0.0,1,166.862,-4.264,0.6665278462297023
24,1,SUE THOMPSON,"Nevada, MO",124.86485,James (Hold The Ladder Steady),Sue Thompson - Her Very Best,1985,0.0,0.0,1,137.522,-12.332,0.4952936212921635
25,1,Five Bolt Main,,225.09669,Made Like This (Live),Live,0,0.0,0.0,1,164.672,-5.908,0.37598430150044215
26,1,Clp,,338.31138,Superconfidential,Strictly Confidential,0,0.0,0.0,0,125.006,-6.486,
27,1,Tim Wilson,Georgia,186.48771,I Think My Wife Is Running Around On Me (Taco Hell),The Real Twang Thang,2005,0.0,0.0,1,90.022,-4.516,
28,1,Willie Bobo,"New York, NY [Spanish Harlem]",168.25424,Spanish Grease,Willie Bobo's Finest Hour,1997,0.0,0.0,1,127.025,-9.616,
29,1,Faye Adams,"Newark, NJ",156.39465,Crazy Mixed Up World,Shake A Hand,1961,0.0,0.0,1,95.957,-18.051,0.0
30,1,Terry Callier,Chicago,342.56934,Do You Finally Need A Friend,Occasional Rain,1972,0.0,0.0,1,110.189,-11.939,0.4137398358601097
31,1,John Wesley,Brandon,484.62322,The Emperor Falls,The Emperor Falls,0,0.0,0.0,0,138.007,-15.335,0.3775316449767025
32,1,The Shangri-Las,"Queens, NY",164.80608,Twist and Shout,Best of The Shangri-Las,1964,0.0,0.0,1,130.1,-10.922,0.4432913119053975
33,1,Billie Jo Spears,"Beaumont, TX",133.32853,It Makes No Difference Now,20 Of Her Best,1992,0.0,0.0,1,160.839,-9.983,0.0
34,1,Mike Jones (Featuring CJ_ Mello & Lil' Bran),"Houston, TX",173.66159,Laws Patrolling (Album Version),Who Is Mike Jones?,0,0.0,0.0,1,41.993,-7.762,
35,1,Sierra Maestra,,313.12934,¿Dónde va Chichi?,Tibiri Tabara,1997,0.0,0.0,1,189.646,-9.512,
36,1,Butthole Surfers,"San Antonio, TX",450.84689,"Barking Dogs (From ""Piouhgd"")",Piouhgd + Widowermaker!,0,0.0,0.0,0,130.586,-9.063,0.593943075901947
37,1,Despina Vandi,,303.09832,OUTE ENA EFHARISTO,Profities,0,0.0,0.0,0,128.292,-8.879,
38,1,Javier Navarrete,,128.83546,Midnight Swim,Cracks,0,0.0,0.0,1,90.932,-17.699,0.3943948561005826
39,1,Jacob Young,,456.30649,In A Subtle Way,Pieces Of Time,0,0.0,0.0,1,89.667,-19.478,0.0
40,1,Scarlet's Remains,California - LA,198.73914,Spin,The Palest Grey,2007,0.0,0.0,1,115.061,-7.469,0.450992311636255
41,1,The Suicide Machines,"Detroit, MI",95.68608,Burning In The Aftermath,A Match & Some Gasoline,2003,0.0,0.0,1,115.887,-2.022,0.5287824809425877
42,1,The Rolling Stones,"London, England",271.49016,Angie (1993 Digital Remaster),Jump Back - The Best Of The Rolling Stones_ '71-'93,0,0.0,0.0,0,139.333,-10.358,0.8344926198909054
43,1,Roberto Torres,,226.66404,Sabor Guajiro,Lo Mejor con La Orq. Broadway,0,0.0,0.0,1,117.271,-12.716,0.0
44,1,Loudon Wainwright III,"Chapel Hill, NC",190.48444,Human Cannonball,Grown Man,1995,0.0,0.0,1,102.428,-15.663,0.5101193140330347
45,1,R.L. Burnside,"Oxford, MS",277.78567,Glory Be,A Bothered Mind,2004,0.0,0.0,1,89.984,-6.944,0.48213758506501503
46,1,Stevie Ray Vaughan,"Dallas, TX",248.78975,Crossfire,Greatest Hits,1992,0.0,0.0,1,116.721,-7.805,
47,1,John Hammond,,195.3171,I Can't Be Satisfied,Bluesman,2002,0.0,0.0,1,123.142,-10.7,
48,1,Casiotone For The Painfully Alone,,175.72526,Nashville Parthenon,Etiquette,2006,0.0,0.0,1,141.919,-10.93,0.7858922883883538
49,1,Ec8or,"Berlin, Germany",217.23383,Cocain Ducks,Ec8or,1995,0.0,0.0,0,95.596,-9.493,
50,1,The New York Dolls,"New York, NY",344.05832,Human Being,Too Much Too Soon,1974,0.0,0.0,1,154.953,-9.253,0.5616924111789523
51,1,Eliane Elias,"Sao Paulo, Brazil",251.42812,The More I See You,Bossa Nova Stories,2009,0.0,0.0,1,86.091,-12.009,0.4348380902608562
52,1,Lost Boyz,"South Jamaica, Queens",269.7922,Certain Things We Do,Love_ Peace & Nappiness,1997,0.0,0.0,1,90.218,-11.043,0.4051157216913865
53,1,The Germs,"Los Angeles, CA",206.05342,Forming,Germicide,1977,0.0,0.0,0,133.144,-11.506,
54,1,Yamandu Costa,,190.04036,Mafuá,Mafuá,0,0.0,0.0,1,205.317,-14.179,
55,1,Chris Rea,"Middlesbrough, England",241.162,Driving Home For Christmas,The Road To Hell Part 2,1986,0.0,0.0,1,180.149,-8.531,0.767727748373397
56,1,Perrey And Kingsley,,122.64444,Spooks In Space,Vanguard Visionaries,1966,0.0,0.0,0,102.538,-8.541,0.4348380902608562
57,1,Eurythmics,"London, England",207.0722,Tous Les Garçons Et Les Filles,Be Yourself Tonight,1985,0.0,0.0,1,84.164,-6.629,0.38293509007501925
58,1,Francis Dunnery,"Egremont, Cumbria, England",300.79955,Too Much Saturn,Hometown 2001,1995,0.0,0.0,1,124.175,-13.33,0.6104742577715245
59,1,John Cale,"Garnant, Wales",228.46649,Movement 4 [from Kiss] (Album Version),Eat / Kiss: Music For The Films By Andy Warhol,1997,0.0,0.0,1,137.004,-12.412,0.2265553139555314
60,1,Suzanne Ciani,California - SF,239.59465,Stream,The Ultimate Most Relaxing New Age Piano in the Universe,0,0.0,0.0,1,106.33,-21.552,0.4159831182884585
61,1,Vickie Winans,,228.93669,Make Me Over,Classic Gold: Best of All,0,0.0,0.0,0,107.961,-8.686,
62,1,The Berzerker,"Melbourne, Australia",165.61587,Deform (live),The Berzerker,2000,0.0,0.0,1,174.287,-6.222,0.0
63,1,Kings Of Leon,"Nashville, Tennessee",187.92444,Wicker Chair,Holy Roller Novocaine,2003,0.0,0.0,1,116.823,-5.907,0.6859402266976852
64,1,Edith Lefel,,276.50567,An ti chans',Jeux de dames_ vol. 1 (réalisation Ronald Rubinel),0,0.0,0.0,1,101.972,-4.638,0.0
65,1,Taras,,200.25424,I Will Love Again (JJ's Club Radio),I Will Love Again,0,0.0,0.0,0,127.97,-5.884,
66,1,NOFX,"Berkeley, CA",144.50893,Stickin In My Eye,White Trash ......,1992,0.0,0.0,0,152.622,-7.787,0.6712360269845353
67,1,Murskahumppa,,285.17832,Ota kiinni,Murskapunkkia,0,0.0,0.0,1,110.787,-8.488,
68,1,Soda Stereo,,246.69995,Entre Caníbales,Canción Animal,1990,0.0,0.0,1,112.903,-9.603,0.6261657596688281
69,1,Bruce Rowland,AUSTRALIA,84.03546,Rosemary Recalls,The Man from Snowy River,1985,0.0,0.0,1,115.642,-26.266,0.0
70,1,Xcultures,,273.52771,Sudanese Dance,One World One People,2000,0.0,0.0,1,125.013,-6.305,0.1992382620006783
71,1,White Heart,,298.84036,Where The Thunder Roars (Tales Of Wonder Album Version),Tales Of Wonder,0,0.0,0.0,1,113.277,-9.998,0.26586104921065007
72,1,Heavy D / McGruff,"Jamaica, West Indies",161.38404,Wanna Be A Player,Waterbed Hev,1997,0.0,0.0,0,96.979,-9.161,0.23773394162247466
73,1,Van Halen,"Pasadena, CA",209.29261,Panama (Remastered Album Version),The Best Of Both Worlds,0,0.0,0.0,1,140.995,-4.865,0.8244821296824321
74,1,Black Eyed Peas,"Los Angeles, CA",229.61587,Let's Get It Started,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,2004,0.0,0.0,0,105.206,-4.882,0.6244254932707666
75,1,Nine Inch Nails,"Cleveland, OH",426.89261,Metal,Things Falling Apart,2000,0.0,0.0,0,63.017,-12.951,0.6355366486226686
76,1,Nick Cave & The Bad Seeds,,269.26975,She Fell Away (2009 Digital Remaster),Your Funeral... My Trial (2009 Digital Remaster),0,0.0,0.0,0,144.603,-11.751,
77,1,Nadine Renee,,249.41669,Next Time,Oasis of Love,0,0.0,0.0,1,167.92,-6.693,0.19878534876524423
78,1,Lesley Gore,"New York, NY",136.48934,It's My Party,60's Triple set,1963,0.0,0.0,1,129.122,-9.091,
79,1,Smartbomb,,233.27302,Complicate It,Yeah.  Well_ Anyway....,2001,0.0,0.0,1,132.022,-2.658,0.0
80,1,Suburbs,Minnesota,187.24526,Monde De Fou,Un Titre de Toune,2005,0.0,0.0,1,183.92,-4.42,0.24906579485370342
81,1,Emperor,Norway,72.61995,Opus a Satana (Part 2),Live Inferno,0,0.0,0.0,0,89.867,-11.051,
82,1,Julien Clerc,FR,272.63955,This Melody (Live),Vendredi 13 - 1981,0,0.0,0.0,1,119.896,-9.97,
83,1,Glen Campbell,"Delight, AR",142.75873,I'm Gone This Time,Unconditional Love,0,0.0,0.0,0,137.29,-11.335,
84,1,T.G. Sheppard,"Humboldt, TN",194.11546,You Feel Good All Over,The Very Best Of,2002,0.0,0.0,1,82.343,-15.581,0.3827232807891977
85,1,Slim Whitman,"Tampa, FL",195.91791,Indian Love Call,Country Lovers. Vol. 3,1990,0.0,0.0,1,91.487,-11.98,
86,1,Savage Garden,CA,118.33424,You Can Still Be Free,Affirmation,1999,0.0,0.0,0,84.69,-11.215,
87,1,Queens Of The Stone Age,,288.41751,I Never Came,Lullabies To Paralyze,2005,0.0,0.0,1,115.606,-8.165,0.7251212835673101
88,1,Hank Penny & The Lincoln Penny Orchestra,"Birmingham, AL",123.21914,Dixie,It's War Again,0,0.0,0.0,0,126.523,-12.69,
89,1,Inspiral Carpets,"Manchester, England",283.76771,Commercial Reign,The Singles,1990,0.0,0.0,1,113.677,-8.7,0.6651722407621973
90,1,Borialis,,239.3073,Hourglass,What You Thought You Heard,0,0.0,0.0,1,86.938,-5.758,0.5546547674656118
91,1,The Dirty Skirts,,206.75873,Wake,Daddy Don't Disco,0,0.0,0.0,1,141.936,-4.907,0.30416950343527516
92,1,Flor Silvestre,,134.81751,Caricia Y Herida,15 Exitos Vol. 2 Flor Silvestre,0,0.0,0.0,1,106.049,-8.133,
93,1,Bézu,"Bézu, comme Superdupont, ne connait qu&#039;un pays : la France !",285.64853,Le tortillard,Le top du père Nöel,0,0.0,0.0,1,126.88,-9.093,
94,1,Redman,"Newark, NJ",124.18567,WKYA (drop),Malpractice,2001,0.0,0.0,0,85.008,-10.296,0.5701059300583878
95,1,Solistiyhtye Suomi,,134.08608,Teräslintu,20 Suosikkia / Rilluttele yö,0,0.0,0.0,0,133.699,-12.839,
96,1,Eddie Cantor,"New York, NY",155.61098,Now's The Time To Fall In Love,The Fabulous Eddie Cantor,0,0.0,0.0,1,118.975,-13.71,
97,1,Schizoid,,275.40853,Grim Prospects (Gross Prospects - Bad Trip Remix),Grim Prospects Remixes - Grim Prospects Will Never End,0,0.0,0.0,1,102.408,-2.119,
98,1,Kai Winding,"Aarhus, Denmark",223.4771,Mangos,The Incredible Kai Winding Trombones,1961,0.0,0.0,1,112.006,-14.438,0.0
99,1,Sonny Simmons,"Sicily Island, LA",443.24526,A Distant Voice,Staying on the Watch,0,0.0,0.0,1,45.527,-13.002,0.2707759989463275
100,1,Mira,"Tallahassee, FL",177.81506,Openbare Weg,Openbare Weg,2006,0.0,0.0,1,85.621,-12.004,
